participant_id,hours
E02EB409E311CD767440ACA3CD1E8835,98
3C5A56458280BCBB43156ED7D0AD4336,59
27F8DE6592945697605E46FF20B03816,51
97DBAD626C9BE507A220B90EC1EE1047,195
D1FC8CE74D0748DD4F8C95ED216EE212,39
0273448CC79DADBE5DC43FBA9DD9BAEA,24
1B0365481A7030B601FF996DC0AC1DC0,164
E1990743A6063E89E0140A88913DA2ED,188
F29546C108368DEF85678A82B5644E50,29
B1D92EFC37E83A45F48985B622A8B1EE,146
7AA4F54BC45E4BDE9D37B5613E02CD0C,101
56BA78E31D7EF751B449F47C1647F24B,106
263727DE48DCC161FAC7F596F8D7E571,31
92388F1025C4AF44B841894D65B65E5C,195
F9558FF2F5B419305A6FB62ABEF75306,130
89AF77D97AB1DC875A298809A0BB86C0,155
625BAB70F529D9897E9A0742CEC90961,2
B2B6DBCA9BAA768E28E48E2F8778553E,119
90E43D1256B6C2568D96592BF8F8C2E3,90
27D872A19B9AD9A0CCC3044A6F481E64,66
7E551CBD35AA9F9C4D09967145E1348F,132
AAE87F736603DF92F7B0051E9AF735F9,26
3D7172B734538307D273FC16621921B0,26
